id,title,price,image_url,description,category,origin_state,artisan_name,inventory_quantity
banarasi_silk_red,Banarasi Silk Saree - Royal Red,1250000,https://images.unsplash.com/photo-1594938298603-c8148c4dae35?w=400,Handwoven Banarasi silk saree with intricate zari work. GI tagged.,textiles,Uttar Pradesh,Rajan Ansari,10
pashmina_shawl_blue,Pashmina Shawl - Kashmir Blue,450000,https://images.unsplash.com/photo-1558171813-4c088753af8f?w=400,100% pure Pashmina wool shawl from Kashmir. Hand-spun and hand-woven.,textiles,Jammu and Kashmir,Fatima Hussain,15
chanderi_saree_gold,Chanderi Silk Saree - Gold Border,85000,https://images.unsplash.com/photo-1583391730482-1c43c2d2a1e2?w=400,Lightweight Chanderi silk with traditional gold border. GI tagged.,textiles,Madhya Pradesh,Sunita Devi,20
kanchipuram_silk_green,Kanchipuram Silk - Emerald,1950000,https://images.unsplash.com/photo-1594938298603-c8148c4dae35?w=400,Pure mulberry silk Kanchipuram saree. Temple border design.,textiles,Tamil Nadu,Lakshmi Iyer,8
pochampally_ikat_scarf,Pochampally Ikat Stole,32000,https://images.unsplash.com/photo-1558171813-4c088753af8f?w=400,Hand-woven ikat design from Pochampally. Geometric patterns.,textiles,Telangana,Venkat Reddy,25
blue_pottery_vase,Jaipur Blue Pottery Vase - Large,4500,https://images.unsplash.com/photo-1610701596007-11502861dcfa?w=400,Traditional blue pottery from Jaipur. Hand-painted floral motif.,pottery,Rajasthan,Mohammed Irfan,30
terracotta_horse,Bankura Terracotta Horse,1200,https://images.unsplash.com/photo-1578749556568-bc2c40e68b61?w=400,Classic Bankura terracotta horse. Hand-moulded and sun-dried.,pottery,West Bengal,Shyamal Karmakar,50
longpi_black_bowl,Longpi Black Pottery Bowl,2800,https://images.unsplash.com/photo-1610701596007-11502861dcfa?w=400,Black pottery from Manipur. No wheel used - hand-coiled.,pottery,Manipur,Thangjam Singh,40
khavda_large_plate,Khavda Clay Plate - Rust,1800,https://images.unsplash.com/photo-1610701596007-11502861dcfa?w=400,Rust-coloured earthenware from Kutch. Natural clay.,pottery,Gujarat,Rabari Lakha,35
black_pottery_teapot,Black Pottery Teapot - Nizamabad,3500,https://images.unsplash.com/photo-1610701596007-11502861dcfa?w=400,Black clay teapot with silver inlay. Uttar Pradesh craft.,pottery,Uttar Pradesh,Ramesh Kumar,22
